kappa,minimum_probability,data_file,coherence_score
0.09,0.5,only_phraser,-1.0727484516677934
0.09,1.5,only_phraser,-1.0727484516677934
0.4,0.5,only_phraser,-1.1551872156234722
0.4,1.5,only_phraser,-1.1551872156234722
0.9,0.5,only_phraser,-1.150116358858839
0.9,1.5,only_phraser,-1.150116358858839
0.09,0.5,only_phraser_with_digits,-1.0821800822636158
0.09,1.5,only_phraser_with_digits,-1.0821800822636158
0.4,0.5,only_phraser_with_digits,-1.1277404348612279
0.4,1.5,only_phraser_with_digits,-1.1277404348612279
0.9,0.5,only_phraser_with_digits,-1.1014502275497469
0.9,1.5,only_phraser_with_digits,-1.1014502275497469
0.09,0.5,both_merges,-1.2640206297874368
0.09,1.5,both_merges,-1.2640206297874368
0.4,0.5,both_merges,-1.2068782531591495
0.4,1.5,both_merges,-1.2068782531591495
0.9,0.5,both_merges,-1.2397051156555758
0.9,1.5,both_merges,-1.2397051156555758
0.09,0.5,both_merges_with_digits,-1.1986966918335888
0.09,1.5,both_merges_with_digits,-1.1986966918335888
0.4,0.5,both_merges_with_digits,-1.1680674684175323
0.4,1.5,both_merges_with_digits,-1.1680674684175323
0.9,0.5,both_merges_with_digits,-1.0916679643851313
0.9,1.5,both_merges_with_digits,-1.0916679643851313
